CityTown	Location	County	StateTerritory	Country	Date	EstimateText	EstimateLow	BestGuess	EstimateHigh	AdjustedLow	AdjustedHigh	Actor	Claim	Pro(2)/Anti(1)	EventType	ReportedArrests	ReportedParticipantInjuries	ReportedPoliceInjuries	ReportedPropertyDamage	TownsCities	Events	Source1	Source2	Source3	Misc.
Kabul				Afghanistan	2019-09-20	about 100	100		100			general protestors	against inaction on climate change; pro-environment		march	0	0	0	0	1	1	https://www.vox.com/energy-and-environment/2019/9/20/20875523/youth-climate-strike-fridays-future-photos-global	https://www.woodtv.com/news/international/tens-of-thousands-join-climate-protests-before-un-summit/		
Sydney				Australia	2019-09-20	80K	80000		80000			general protestors	against inaction on climate change; pro-environment		strike					1	1	https://www.schoolstrike4climate.com/post/biggest-climate-mobilisation-in-australia-s-history-as-300-000-students-workers-climatestrike			
Canberra				Australia	2019-09-20	15K	15000		15000			general protestors	against inaction on climate change; pro-environment		strike					1	1	https://www.schoolstrike4climate.com/post/biggest-climate-mobilisation-in-australia-s-history-as-300-000-students-workers-climatestrike			
Melbourne				Australia	2019-09-20	100K	100000		100000			general protestors	against inaction on climate change; pro-environment		strike					1	1	https://www.schoolstrike4climate.com/post/biggest-climate-mobilisation-in-australia-s-history-as-300-000-students-workers-climatestrike	https://www.usatoday.com/story/news/nation/2019/09/21/global-climate-strike-estimates-crowd-size-millions-worldwide/2401672001/	https://www.theage.com.au/national/victoria/protesters-bring-city-to-a-standstill-for-third-climate-change-protests-20190920-p52tfw.html	
Adelaide				Australia	2019-09-20	20K	20000		20000			general protestors	against inaction on climate change; pro-environment		strike					1	1	https://www.schoolstrike4climate.com/post/biggest-climate-mobilisation-in-australia-s-history-as-300-000-students-workers-climatestrike			
Brisbane				Australia	2019-09-20	30K	30000		30000			general protestors	against inaction on climate change; pro-environment		strike					1	1	https://www.schoolstrike4climate.com/post/biggest-climate-mobilisation-in-australia-s-history-as-300-000-students-workers-climatestrike			
Hobart				Australia	2019-09-20	20K; na	20000		22000			general protestors	against inaction on climate change; pro-environment		strike					1	1	https://www.schoolstrike4climate.com/post/biggest-climate-mobilisation-in-australia-s-history-as-300-000-students-workers-climatestrike	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen		
Perth				Australia	2019-09-20	10K	10000		10000			general protestors	against inaction on climate change; pro-environment		strike					1	1	https://www.schoolstrike4climate.com/post/biggest-climate-mobilisation-in-australia-s-history-as-300-000-students-workers-climatestrike			
Birmingham	City South; Birmingham City University; Victoria Square 			England	2019-09-20							students and staff	against inaction on climate change; pro-environment		strike					1	1	https://twitter.com/BCUHELS/status/1175030099927871489			
Brighton				England	2019-09-20	na	10000		10000				against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
Bristol				England	2019-09-20	na	6000		6000				against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
