"date","locality","state","location_detail","online","type","title","macroevent","actors","organizations","participants","claims","valence","issues","size_text","size_low","size_high","size_mean","size_cat","arrests","arrests_any","injuries_crowd","injuries_crowd_any","injuries_police","injuries_police_any","property_damage","property_damage_any","chemical_agents","participant_measures","police_measures","participant_deaths","police_deaths","source_1","source_2","source_3","source_4","source_5","source_6","source_7","source_8","source_9","source_10","source_11","source_12","source_13","source_14","source_15","source_16","source_17","source_18","source_19","source_20","source_21","source_22","source_23","source_24","source_25","source_26","source_27","source_28","source_29","source_30","notes","lat","lon","resolved_locality","resolved_county","resolved_state","fips_code"
2019-09-06,"Salt Lake City","UT","Utah State Capitol",0,"demonstration",NA,NA,"Fridays for Future Utah; students","Fridays for Future Utah","students","for climate action",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,"https://www.instagram.com/p/BxA78BiHeFY/","https://www.instagram.com/p/Bv2pzFxHZ2c/","https://www.instagram.com/p/Bx542oznkg3/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"every Friday since at least May 2019","40.760779","-111.891047","Salt Lake City","Salt Lake County","UT","49035"
2019-09-06,"Seattle","WA",NA,0,"demonstration",NA,NA,"Fridays for Future Seattle","Fridays for Future Seattle",NA,"for climate justice",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,"https://twitter.com/solo_syn_/status/1573513412109561856","https://www.facebook.com/people/Fridays-For-Future-Seattle/100064551678295/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"every Friday","47.606209","-122.332071","Seattle","King County","WA","53033"
2019-09-09,"Providence","RI","State House",0,"protest; sit-in",NA,NA,"Sunrise",NA,NA,"Environmental; against climate change",0,"environment","about 20",20,20,20,1,"0.0",0,"0.0",0,"0.0",0,"0.0",0,NA,NA,NA,NA,NA,"https://www.providencejournal.com/news/20190909/climate-activists-rally-in-providence-for-green-new-deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.823989","-71.412834","Providence","Providence County","RI","44007"
2019-09-09,"Providence","RI","State House",0,"protest; sit-in",NA,NA,"Sunrise",NA,NA,"Environmental; against climate change",0,"environment","about 20",20,20,20,1,"0.0",0,"0.0",0,"0.0",0,"0.0",0,NA,NA,NA,NA,NA,"https://www.providencejournal.com/news/20190909/climate-activists-rally-in-providence-for-green-new-deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.823989","-71.412834","Providence","Providence County","RI","44007"
2019-09-10,"Juneau","AK","State Capitol",0,"rally",NA,NA,"general protesters",NA,NA,"Against climate change; Environment",0,"environment","count pic",38,38,38,1,"0.0",0,"0.0",0,"0.0",0,"0.0",0,NA,NA,NA,NA,NA,"https://www.juneauempire.com/news/empire-live-climate-change-rally-at-the-capitol-aims-for-international-audience/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58.301944","-134.419722","Juneau","Juneau","AK","02110"
2019-09-10,"Juneau","AK","State Capitol",0,"rally",NA,NA,"general protesters",NA,NA,"Against climate change; Environment",0,"environment","count pic",38,38,38,1,"0.0",0,"0.0",0,"0.0",0,"0.0",0,NA,NA,NA,NA,NA,"https://www.juneauempire.com/news/empire-live-climate-change-rally-at-the-capitol-aims-for-international-audience/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58.301944","-134.419722","Juneau","Juneau","AK","02110"
2019-09-12,"Portland","ME","City Hall steps, Portland, ME",0,"demonstration",NA,"20190920-climatestrike","general protestors, students",NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment","an estimated 20000",20000,20000,20000,4,"0",0,"0",0,"0",0,"0",0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,"https://www.kgw.com/article/news/local/portland-students-to-walk-out-of-class-friday-for-climate-change-pps/283-0ff8f8ca-c2d8-4376-b398-d23d4d0a1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"389 Congress Street","43.659099","-70.256819","Portland","Cumberland County","ME","23005"
2019-09-12,"Portland","ME","City Hall steps, Portland, ME",0,"demonstration",NA,"20190920-climatestrike","general protestors, students",NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment","an estimated 20000",20000,20000,20000,4,"0",0,"0",0,"0",0,"0",0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,"https://www.kgw.com/article/news/local/portland-students-to-walk-out-of-class-friday-for-climate-change-pps/283-0ff8f8ca-c2d8-4376-b398-d23d4d0a1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"389 Congress Street","43.659099","-70.256819","Portland","Cumberland County","ME","23005"
2019-09-12,"Portland","ME","City Hall steps, Portland, ME",0,"demonstration",NA,"20190920-climatestrike","general protestors, students",NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment","an estimated 20000",20000,20000,20000,4,"0",0,"0",0,"0",0,"0",0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,"https://www.kgw.com/article/news/local/portland-students-to-walk-out-of-class-friday-for-climate-change-pps/283-0ff8f8ca-c2d8-4376-b398-d23d4d0a1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"389 Congress Street","43.659099","-70.256819","Portland","Cumberland County","ME","23005"
2019-09-12,"Baytown","TX","Fred Hartman Bridge",0,"direct action",NA,NA,"Greenpeace",NA,NA,"Environment; Against climate change",1,"environment",NA,23,23,23,1,"23.0",1,"0.0",0,"0.0",0,"0.0",0,NA,NA,NA,NA,NA,"https://abc13.com/society/greenpeace-protesters-arrested-at-fred-hartman-bridge/5534431/","https://wkzo.com/2021/11/05/greenpeace-texas-prosecutor-settle-charges-in-2019-climate-protest/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.735505","-94.977427","Baytown","Harris County","TX","48201"
